	classnumber	day_of_year	genus	lat	lon	name	precipProbability	precipProbabilityPreviousDay	precipProbabilityPreviousDay2	precipProbabilityPreviousDay7	pressure	temperatureMax	temperatureMaxPrevDay1	temperatureMaxPrevDay2	temperatureMaxPrevDay7	temperatureMin	temperatureMinPrevDay1	temperatureMinPrevDay2	temperatureMinPrevDay7	time_observed_at
28479163	1	187	Ursus	48.6510135924	-113.4243644761	Ursus	0.67	0.59	0.75	0.35000000000000003	1015.16	67.29	51.35	54.89	56.15	43.02	41.63	36.06	37.63	2019-07-07 02:10:00
28478709	1	187	Ursus	48.6039992346	-113.6679549157	Ursus	0.6900000000000001	0.45	0.6900000000000001	0.27	1015.01	65.99	53.29	52.29	55.22	44.39	41.2	36.19	36.45	2019-07-06 16:20:00
27740523	1	177	Ursus	60.4910812378	-149.7593383789	Ursus	0.0	0.07	0.2	0.0	1019.63	74.83	72.81	74.23	71.4	48.27	53.9	50.91	49.93	2019-06-26 19:08:23
27968491	1	176	Ursus	52.4738361111	-127.7402722222	Ursus	0.2	1.0	1.0	1.0	1012.78	75.96	60.47	57.75	56.16	47.61	50.96	51.4	49.06	2019-06-25 20:14:00
27547236	1	171	Ursus	60.8711866586	-153.8770445069	Ursus	0.13	0.18	0.91	0.25	1023.43	64.61	56.36	54.13	66.52	44.99	42.32	40.61	40.17	2019-06-21 02:00:00
27288387	1	168	Ursus	35.0021313839	-120.4968205239	Ursus	0.15	0.08	0.07	0.0	1012.55	67.28	62.67	63.02	82.63	53.47	52.29	53.31	61.08	2019-06-17 14:18:26
25975303	1	148	Ursus	42.5386166667	140.8616166667	Ursus	0.59	0.01	0.0	0.9500000000000001	1004.85	64.59	77.51	77.63	58.4	50.95	57.51	54.51	49.39	2019-05-27 23:24:29
25913232	1	147	Ursus	60.9457550049	-149.3876495361	Ursus	0.4	1.0	1.0	0.84	1012.98	56.91	50.79	56.28	53.0	48.63	47.72	45.7	45.27	2019-05-27 20:05:37
25840071	1	145	Ursus	54.4083606234	-126.4548576671	Ursus	1.0	1.0	1.0	1.0	1016.45	69.87	61.02	65.71	58.31	43.56	44.92	37.98	32.24	2019-05-25 21:51:00
26204597	1	138	Ursus	55.3271887126	-131.5321806819	Ursus	0.36	1.0	1.0	0.0	1009.85	59.62	55.1	53.58	54.78	46.43	44.5	46.42	45.44	2019-05-18 18:08:25
